model_name,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model,dataset
ResNet101,Conf,FGM,0.0,0.09,0.449438202247191,41.96721330829772,94.588518799,2.168359365,0.02057879,4,20.0,101,torch_example.ResNet101,a05e748b2b255bd3a1d30b911bcab642,a05e748b2b255bd3a1d30b911bcab642,a05e748b2b255bd3a1d30b911bcab642,cifar
ResNet101,Conf,FGM,0.4911666666666666,0.05,0.2247191011235954,42.0555441383361,95.675606107,2.25891739,0.021188061,5,20.0,101,torch_example.ResNet101,a10ad22b6388bcd1009ce13e66e9e4fe,a10ad22b6388bcd1009ce13e66e9e4fe,a10ad22b6388bcd1009ce13e66e9e4fe,cifar
ResNet101,Conf,PGD,0.273,0.12,0.449438202247191,40.02005514108725,94.305871073,2.19889752,0.02106045,0,20.0,101,torch_example.ResNet101,a12719a31607e17ad9b53b965967f5e9,a12719a31607e17ad9b53b965967f5e9,a12719a31607e17ad9b53b965967f5e9,cifar
ResNet101,Conf,Pixel,0.1645833333333333,0.0,1.0,48.31245115399821,94.297494542,2.06985979,0.020809164,9,20.0,101,torch_example.ResNet101,a1623d6ae0307602d4a116a4a28b2b5f,a1623d6ae0307602d4a116a4a28b2b5f,a1623d6ae0307602d4a116a4a28b2b5f,cifar
ResNet101,Conf,Deep,0.28825,0.0,1.0,44.325182812069066,95.952116609,2.256053865,0.021164289,7,20.0,101,torch_example.ResNet101,a46a1987dba0d5408d8e0aa9944e5b70,a46a1987dba0d5408d8e0aa9944e5b70,a46a1987dba0d5408d8e0aa9944e5b70,cifar
ResNet101,Conf,Pixel,0.5660833333333334,0.13,0.8988764044943821,39.9511867583373,94.27996435,2.177657463,0.020701302,5,20.0,101,torch_example.ResNet101,a684c2bd18bffafd39d6d86a1a72bf80,a684c2bd18bffafd39d6d86a1a72bf80,a684c2bd18bffafd39d6d86a1a72bf80,cifar
ResNet101,Conf,Deep,0.1440833333333333,0.08,0.8988764044943821,41.91089082327786,94.327506805,2.195133489,0.021130501,7,20.0,101,torch_example.ResNet101,a97fb7b0675100e4c01996937bcb7790,a97fb7b0675100e4c01996937bcb7790,a97fb7b0675100e4c01996937bcb7790,cifar
ResNet101,Conf,Deep,0.1014166666666666,0.07,0.2247191011235954,42.020459734734864,94.327506805,2.21320758,0.021222721,5,20.0,101,torch_example.ResNet101,af6fa51a792cb4354127246d17426774,af6fa51a792cb4354127246d17426774,af6fa51a792cb4354127246d17426774,cifar
ResNet101,Conf,Deep,0.4595,0.0,1.0,45.5221882604392,94.327506805,2.196730953,0.023473276,1,20.0,101,torch_example.ResNet101,afaeba50838ec8c5a9c02190dd16961c,afaeba50838ec8c5a9c02190dd16961c,afaeba50838ec8c5a9c02190dd16961c,cifar
ResNet101,Conf,HSJ,0.0,0.1,0.0,40.40321503573648,95.640042653,2.227545504,0.020716608,0,20.0,101,torch_example.ResNet101,b1f1911a0499e9378020a4f480d83031,b1f1911a0499e9378020a4f480d83031,b1f1911a0499e9378020a4f480d83031,cifar
ResNet101,Conf,FGM,0.4845,0.12,0.2247191011235954,40.55968527254994,94.223736332,2.169642082,0.020650841,3,20.0,101,torch_example.ResNet101,b3cb477a4e49222934d39adfea966298,b3cb477a4e49222934d39adfea966298,b3cb477a4e49222934d39adfea966298,cifar
ResNet101,Conf,FGM,0.1550833333333333,0.08,0.8988764044943821,42.4785665700425,94.232238949,2.165798129,0.020682625,4,20.0,101,torch_example.ResNet101,b7a1c7b109d290c6cf9b7309da6a7e2a,b7a1c7b109d290c6cf9b7309da6a7e2a,b7a1c7b109d290c6cf9b7309da6a7e2a,cifar
ResNet101,Conf,PGD,0.0981666666666666,0.08,1.0,42.39187194614254,94.307806323,2.170227352,0.020708614,5,20.0,101,torch_example.ResNet101,b94c7fa4b41f369ebe5241eb2af0bbed,b94c7fa4b41f369ebe5241eb2af0bbed,b94c7fa4b41f369ebe5241eb2af0bbed,cifar
ResNet101,Conf,Deep,0.0,0.0,1.0,45.028928035552966,94.307806323,2.220794595,0.021179423,5,20.0,101,torch_example.ResNet101,b98f7e00a004497c4186b574e12ee092,b98f7e00a004497c4186b574e12ee092,b98f7e00a004497c4186b574e12ee092,cifar
ResNet101,Conf,Pixel,0.0,0.03,0.2247191011235954,43.716707113544366,95.788807678,2.218831344,0.020709726,6,20.0,101,torch_example.ResNet101,ba3c4cc76530a149fbafea2955fe73b3,ba3c4cc76530a149fbafea2955fe73b3,ba3c4cc76530a149fbafea2955fe73b3,cifar
ResNet101,Conf,HSJ,0.0,0.09,0.449438202247191,42.19718705260056,95.788807678,2.156541854,0.021173447,7,20.0,101,torch_example.ResNet101,ba85d8c586788b8321289e5d47961c33,ba85d8c586788b8321289e5d47961c33,ba85d8c586788b8321289e5d47961c33,cifar
ResNet101,Conf,Thresh,0.0,0.08,0.2247191011235954,41.37548636282701,95.639266293,2.223538817,0.020638867,8,20.0,101,torch_example.ResNet101,bb44cd932fdedcec9cf88d4835b32476,bb44cd932fdedcec9cf88d4835b32476,bb44cd932fdedcec9cf88d4835b32476,cifar
ResNet101,Conf,Pixel,0.0,0.08,0.0,41.71868128420211,94.63681171,2.205247078,0.023339112,7,20.0,101,torch_example.ResNet101,bcb11f199976207376f8832d129c5858,bcb11f199976207376f8832d129c5858,bcb11f199976207376f8832d129c5858,cifar
ResNet101,Conf,Deep,0.47325,0.1,1.0,41.20517320968839,94.485680241,2.184191765,0.02079988,4,20.0,101,torch_example.ResNet101,bf28a9e8d0231e00bb968ac900b30de5,bf28a9e8d0231e00bb968ac900b30de5,bf28a9e8d0231e00bb968ac900b30de5,cifar
ResNet101,Conf,Pixel,0.0993333333333333,0.07,1.0,44.96547860234515,94.336813539,2.068253311,0.021283971,6,20.0,101,torch_example.ResNet101,c3bad5bdbd755737ffea7919eed8241a,c3bad5bdbd755737ffea7919eed8241a,c3bad5bdbd755737ffea7919eed8241a,cifar
ResNet101,Conf,HSJ,0.4781666666666667,0.08,0.0,41.786868220671664,94.515248135,2.201648602,0.021290425,5,20.0,101,torch_example.ResNet101,c85916e7e4869bbddb7c59ffb7e341fb,c85916e7e4869bbddb7c59ffb7e341fb,c85916e7e4869bbddb7c59ffb7e341fb,cifar
ResNet101,Conf,Pixel,0.0,0.07,0.449438202247191,41.7421878410383,95.607800326,2.227961801,0.02072566,4,20.0,101,torch_example.ResNet101,ca22e5c2cb4c8584a4901389eec49888,ca22e5c2cb4c8584a4901389eec49888,ca22e5c2cb4c8584a4901389eec49888,cifar
ResNet101,Conf,Thresh,0.61625,0.02,0.0,43.87665429151451,95.760283558,2.233534019,0.020979473,1,20.0,101,torch_example.ResNet101,cbf60df286ee22f80a15c7dc20e01782,cbf60df286ee22f80a15c7dc20e01782,cbf60df286ee22f80a15c7dc20e01782,cifar
ResNet101,Conf,Deep,0.1140833333333333,0.1,0.449438202247191,41.37264056157765,94.505265972,2.175350637,0.020791084,4,20.0,101,torch_example.ResNet101,ce6c007f25ea2bfd236207f31cd4311f,ce6c007f25ea2bfd236207f31cd4311f,ce6c007f25ea2bfd236207f31cd4311f,cifar
